,Kream번호,제품명,가격,발매가,발매일,브랜드
60,90626,(W) UGG Cozy Slipper Cream,100000.0,120.0,정보 없음,UGG
61,89959,UGG Tasman Slipper Chocolate,184000.0,100.0,정보 없음,UGG
62,89858,(W) UGG Mini Bailey Bow ll Shimmer Caribou,180000.0,정보 없음,정보 없음,UGG
63,88631,UGG Neuman Chestnut,160000.0,120.0,정보 없음,UGG
64,88627,UGG Classic Mini Boots Chestnut,250000.0,150.0,정보 없음,UGG
65,88284,UGG x Telfar Fleece Mini Heather Grey,정보 없음,250.0,정보 없음,UGG
66,88281,UGG x Telfar Slip On Chestnut,290000.0,150.0,정보 없음,UGG
67,85856,(W) UGG Classic Ultra Mini Boots Burnt Cedar,195000.0,140.0,정보 없음,UGG
68,84639,(W) UGG Nita Slipper Chestnut,82000.0,248000.0,정보 없음,UGG
69,146957,(W) Ugg Fluff Yeah Slide Beachwood Multi,정보 없음,정보 없음,정보 없음,UGG
70,137616,(W) Ugg Scuffette II Slipper Campfire,정보 없음,정보 없음,정보 없음,UGG
71,137615,(W) Ugg Ashton Slide Black,정보 없음,120.0,정보 없음,UGG
72,135623,(Kids) UGG Classic II Weather Short Boots Chestnut,정보 없음,150.0,정보 없음,UGG
73,128462,(W) UGG Foam O Slide Pale Chartreuse,정보 없음,128000.0,정보 없음,UGG
74,128461,(W) UGG Mini Slide Taffy Pink,정보 없음,178000.0,정보 없음,UGG
75,128459,(W) UGG Mini Slide Bright White,정보 없음,178000.0,정보 없음,UGG
76,128456,(W) UGG Mini Slide Sunny Yellow,정보 없음,178000.0,정보 없음,UGG
77,126291,(W) UGG Tasman X Black,정보 없음,138000.0,정보 없음,UGG
78,126121,(W) UGG Foam O Slide Dragon Fruit,정보 없음,128000.0,정보 없음,UGG
79,126035,UGG Slide It Black,정보 없음,50.0,정보 없음,UGG
80,126033,(W) UGG Foam O Slide Black,정보 없음,128000.0,정보 없음,UGG
81,123826,(W) UGG Bailey Zip Mini Boot Chestnut,정보 없음,160.0,정보 없음,UGG
82,110760,(W) UGG Aww Yeah Sandal Bright White,270000.0,120.0,정보 없음,UGG
83,110757,(W) UGG Aww Yeah Sandal Strawberry Cream,정보 없음,120.0,정보 없음,UGG
84,104127,UGG Sport Yeah Slide Black,108000.0,60.0,정보 없음,UGG
85,100184,UGG Dune Slip On LTA Moss Green Orange,정보 없음,100.0,정보 없음,UGG
86,98574,UGG Kenton Slipper White Pepper Amphora,정보 없음,100.0,정보 없음,UGG
87,96680,(W) UGG Classic Mini Logo Zip Boots Chestnut,정보 없음,175.0,정보 없음,UGG
88,96650,(W) UGG Classic Ultra Mini Platform Boots Moss Green,250000.0,150.0,정보 없음,UGG
89,94578,(W) UGG Tasman Slipper Driftwood,정보 없음,100.0,정보 없음,UGG
90,93384,(W) UGG Fuzz Sugar Cross Slide Natural Black,정보 없음,120.0,정보 없음,UGG
91,93211,(W) UGG Tasman Slipper Burnt Olive,185000.0,100.0,정보 없음,UGG
92,92601,(W) UGG Classic Ultra Mini Platform Boots Forest Night,119000.0,150.0,정보 없음,UGG
93,91773,(W) UGG Fluff Yeah Slide Charcoal,40000.0,100.0,정보 없음,UGG
94,91772,(W) UGG Fluff Yeah Slide Black,65000.0,100.0,정보 없음,UGG
95,90945,UGG Scuff Romeo ll Slipper Chestnut,정보 없음,정보 없음,정보 없음,UGG
96,90647,(W) UGG Disco Cross Slide Chestnut,138000.0,120.0,정보 없음,UGG
97,89859,(W) UGG Mini Bailey Bow ll Shimmer Nightfall,정보 없음,정보 없음,정보 없음,UGG
98,89267,(W) UGG Classic Mini II Boots Dark Brown,225000.0,150.0,정보 없음,UGG
99,88745,(W) UGG Classic Ultra Mini Braid Plat Chestnut,378000.0,정보 없음,정보 없음,UGG
100,88638,(W) UGG Scuff Sis Black,128000.0,100.0,정보 없음,UGG
101,88488,(W) UGG Classic Mini Platform Boots Forest Night,250000.0,160.0,정보 없음,UGG
102,88461,(W) UGG Tazz Slipper Black,177000.0,120.0,정보 없음,UGG
103,88275,(W) UGG Neumel Platform Chelsea Boots Chestnut,350000.0,175.0,정보 없음,UGG
104,88261,UGG Boots Guard Chestnut,120000.0,50.0,정보 없음,UGG
105,88219,(W) UGG Classic Mini Platform Boots Black,225000.0,160.0,정보 없음,UGG
106,85710,(W) UGG Classic Ultra Mini Platform Boots Black,200000.0,150.0,정보 없음,UGG
107,85471,(W) UGG Ansley Chestnut - Standard,170000.0,100.0,정보 없음,UGG
108,84289,(W) UGG Bailey Button II Boots Chestnut,290000.0,155.0,정보 없음,UGG
109,122461,UGG x Opening Ceremony Tasman Chestnut,정보 없음,498000.0,2023-05-08T02:00:15Z,UGG
110,122460,UGG x Opening Ceremony Tasman White,정보 없음,498000.0,2023-05-08T02:00:15Z,UGG
111,122459,UGG x Opening Ceremony Tasman Black,정보 없음,498000.0,2023-05-08T02:00:15Z,UGG
112,92638,(W) UGG Classic Mini II Boots Campfire,정보 없음,150.0,2022-12-17T00:00:00Z,UGG
113,150196,(W) UGG Yose Puff Boots Black,정보 없음,160.0,정보 없음,UGG
114,147733,(W) UGG Droplet Rain Boots Black,정보 없음,80.0,정보 없음,UGG
115,146955,Ugg Tasman Sport Black,정보 없음,90.0,정보 없음,UGG
116,136262,(W) UGG Scrunchita Slide Sunny Yellow,정보 없음,120.0,정보 없음,UGG
117,132244,(Kids) UGG Drizlita Boots Black,정보 없음,60.0,정보 없음,UGG
118,129519,UGG Scuff Logo Slipper Chestnut Espresso,정보 없음,100.0,정보 없음,UGG
119,126290,(W) UGG Tasman X Burnt Olive,정보 없음,138000.0,정보 없음,UGG
120,126034,UGG Slide It Dune,정보 없음,50.0,정보 없음,UGG
121,126032,(W) UGG Foam O Slide Sunny Yellow,정보 없음,70.0,정보 없음,UGG
122,126031,(W) UGG Foam O Slide Seaflow,정보 없음,70.0,정보 없음,UGG
123,126030,(W) UGG Foam O Slide Greyhound,정보 없음,70.0,정보 없음,UGG
124,126029,(W) UGG Foam O Slide Sweet Peach,정보 없음,70.0,정보 없음,UGG
125,118148,(W) UGG Fluff Slide II Leopard Amphora,정보 없음,70.0,정보 없음,UGG
126,113713,(W) UGG Drizlita Clear Boot Natural,정보 없음,129.0,정보 없음,UGG
127,110778,(W) UGG Sport Yeah Clog Taffy Pink,정보 없음,70.0,정보 없음,UGG
128,110777,(W) UGG Sport Yeah Clog Moss Green,정보 없음,70.0,정보 없음,UGG
129,110776,(W) UGG Sport Yeah Clog Summer Sky,정보 없음,70.0,정보 없음,UGG
130,110775,(W) UGG Sport Yeah Clog Bright White,정보 없음,70.0,정보 없음,UGG
131,110774,(W) UGG Sport Yeah Clog Black,정보 없음,70.0,정보 없음,UGG
132,110773,(W) UGG Sport Yeah Slide Taffy Pink,정보 없음,60.0,정보 없음,UGG
133,110772,(W) UGG Sport Yeah Slide Samba Red,정보 없음,60.0,정보 없음,UGG
134,110770,(W) UGG Sport Yeah Slide Moss Green,정보 없음,60.0,정보 없음,UGG
135,110769,(W) UGG Sport Yeah Slide Dragon Fruit,정보 없음,60.0,정보 없음,UGG
136,110767,(W) UGG Drizlita Boots Burnt Olive,정보 없음,90.0,정보 없음,UGG
137,110766,(W) UGG Drizlita Boots Naval Blue,정보 없음,90.0,정보 없음,UGG
138,110765,(W) UGG Drizlita Boots Canary,정보 없음,90.0,정보 없음,UGG
139,110764,(W) UGG Drizlita Boots Taffy Pink,정보 없음,90.0,정보 없음,UGG
140,110763,(W) UGG Drizlita Boots Bright White,159000.0,90.0,정보 없음,UGG
141,110762,(W) UGG Drizlita Boots Black,150000.0,90.0,정보 없음,UGG
142,110761,(W) UGG Drizlita Boots Dragon Fruit,정보 없음,90.0,정보 없음,UGG
143,110759,(W) UGG Aww Yeah Sandal Black,280000.0,120.0,정보 없음,UGG
144,110758,(W) UGG Aww Yeah Sandal Summer Sky,정보 없음,120.0,정보 없음,UGG
145,108583,UGG Classic Clog Stout,정보 없음,정보 없음,정보 없음,UGG
146,105568,UGG x Telfar Logo Mini Blue,정보 없음,250.0,정보 없음,UGG
147,105212,(W) UGG Classic Mini Side Logo Boot Ultra Matte White,정보 없음,150.0,정보 없음,UGG
148,105182,(W) UGG Coquette Slipper Nantucket Coral,정보 없음,120.0,정보 없음,UGG
149,97820,UGG Neumel Sheepskin Boots Chestnut,150000.0,140.0,정보 없음,UGG
150,97301,(Kids) UGG Cozy ll Slipper Chestnut,정보 없음,60.0,정보 없음,UGG
151,97233,UGG x Telfar Fleece Tall Boots Black,정보 없음,380.0,정보 없음,UGG
152,96651,(W) UGG Classic Ultra Mini Clear Burnt Olive,정보 없음,150.0,정보 없음,UGG
153,96522,(W) UGG Classic Mini Chunky Sequin Boots Black,정보 없음,정보 없음,정보 없음,UGG
154,95664,(Kids) UGG Funkette Slides Chestnut,100000.0,85.0,정보 없음,UGG
155,95240,(W) UGG Janaya Mule Arroyo Suede,정보 없음,120.0,정보 없음,UGG
156,95239,(W) UGG Mini Bailey Bow Crushed Velvet Boots Black,160000.0,정보 없음,정보 없음,UGG
157,95212,(W) UGG Classic Ultra Mini Platform Boots Horizon Pink,정보 없음,140.0,정보 없음,UGG
158,94955,UGG Scuff Leather Tan,정보 없음,100.0,정보 없음,UGG
159,93900,(W) UGG Mini Chunky Sequin Boots Black,정보 없음,160.0,정보 없음,UGG
160,93857,(W) UGG Classic Maxi Short Boots Black,265000.0,220.0,정보 없음,UGG
161,93765,(Kids) UGG Classic II Boots Chestnut,정보 없음,130.0,정보 없음,UGG
162,93574,(W) UGG Mini Bailey Button II Boots Grey,189000.0,155.0,정보 없음,UGG
163,93509,(W) UGG Classic Mini Logo Zip Boots Black,정보 없음,정보 없음,정보 없음,UGG
164,92635,(W) UGG Kenton Slipper Antilope,정보 없음,정보 없음,정보 없음,UGG
165,92358,(W) UGG Classic Mini II Boots Caribou,160000.0,150.0,정보 없음,UGG
166,92243,(W) UGG Dakota Nightfall,정보 없음,100.0,정보 없음,UGG
167,91782,(W) UGG Arena Black,정보 없음,정보 없음,정보 없음,UGG
168,91407,UGG x Neighborhood Tasman Slipper Chestnut,정보 없음,정보 없음,정보 없음,UGG
169,91285,(W) UGG Classic Ultra Mini Boots Driftwood,250000.0,140.0,정보 없음,UGG
170,91255,(W) UGG Ansley Light Grey - Wide,정보 없음,100.0,정보 없음,UGG
171,91254,(W) UGG Ansley Espresso - Wide,정보 없음,100.0,정보 없음,UGG
172,91253,(W) UGG Ansley Chestnut - Wide,정보 없음,100.0,정보 없음,UGG
173,91252,(W) UGG Ansley Black - Wide,정보 없음,100.0,정보 없음,UGG
174,90944,(W) UGG Hailey Loafer Chestnut,130000.0,정보 없음,정보 없음,UGG
175,90545,UGG Fluff It Slipper Black Tnl Fluff,140000.0,110.0,정보 없음,UGG
176,90468,UGG Fluff It Slipper Burnt Olive Fluff,160000.0,110.0,정보 없음,UGG
177,90287,UGG Tasman Slipper Navy,198000.0,100.0,정보 없음,UGG
178,90286,UGG Tasman Slipper Dark Grey,정보 없음,100.0,정보 없음,UGG
179,90285,(W) UGG Tasman Slipper Dark Grey,135000.0,100.0,정보 없음,UGG
180,90284,UGG Classic Mini Boots Dark Grey,정보 없음,150.0,정보 없음,UGG
181,89971,(W) UGG Classic Cozy Bootie Black,150000.0,125.0,정보 없음,UGG
182,89897,(W) UGG Tazz Slipper Burnt Olive,239000.0,120.0,정보 없음,UGG
183,89551,UGG Fluff It Slipper Metal Fluff,정보 없음,110.0,정보 없음,UGG
184,89298,(W) UGG Classic Ultra Mini Platform Boots Driftwood,280000.0,150.0,정보 없음,UGG
185,89102,(W) UGG Bailey Button Triplet II Boots Chestnut,330000.0,220.0,정보 없음,UGG
186,88937,(W) UGG Classic Short Charm Boots Black,정보 없음,정보 없음,정보 없음,UGG
187,88639,(W) UGG Scuff Sis Charcoal,163000.0,100.0,정보 없음,UGG
188,88633,UGG Classic Ultra Mini Chestnut,정보 없음,140.0,정보 없음,UGG
189,88632,UGG Classic Ultra Mini Black,정보 없음,140.0,정보 없음,UGG
190,88630,UGG Classic Short Boots Black,정보 없음,170.0,정보 없음,UGG
191,88628,UGG Classic Mini Boots Black,260000.0,150.0,정보 없음,UGG
192,88487,(W) UGG x TS Coquette Slipper Chestnut,정보 없음,정보 없음,정보 없음,UGG
193,88286,UGG x Telfar Fleece Mini Black,정보 없음,250.0,정보 없음,UGG
194,88285,UGG x Telfar Fleece Tall Boots Heather Grey,정보 없음,380.0,정보 없음,UGG
195,88282,UGG x Telfar Logo Mini Pink,정보 없음,250.0,정보 없음,UGG
196,88262,UGG Boots Guard Clear,정보 없음,50.0,정보 없음,UGG
197,88260,UGG Boots Guard Black,99000.0,50.0,정보 없음,UGG
198,88221,(W) UGG Tasman Slipper Black,165000.0,100.0,정보 없음,UGG
199,86243,(W) UGG Classic Micro Mini Boots Chestnut,190000.0,130.0,정보 없음,UGG
200,85476,(W) UGG Dakota Tabacco,148000.0,100.0,정보 없음,UGG
201,85473,(W) UGG Ansley Light Grey - Standard,127000.0,100.0,정보 없음,UGG
202,85472,(W) UGG Ansley Espresso - Standard,199000.0,100.0,정보 없음,UGG
203,85470,(W) UGG Ansley Black - Standard,169000.0,100.0,정보 없음,UGG
204,85158,(W) UGG Coquette Slipper Wildflower,130000.0,120.0,정보 없음,UGG
205,85151,(W) UGG Scuffette II Slipper Shell,210000.0,95.0,정보 없음,UGG
206,84298,(W) UGG Classic Slipper II Black,정보 없음,120.0,정보 없음,UGG
207,84294,(W) UGG Classic Slipper II Chestnut,199000.0,120.0,정보 없음,UGG
208,84290,(W) UGG Over the Knee Bailey Button Boots Chestnut,850000.0,395.0,정보 없음,UGG
209,113220,(W) Zara Sprots Ballerina Flat Shoes Black,65000.0,59900.0,정보 없음,Zara
210,113221,(W) Zara Sprots Ballerina Flat Shoes Cream White,69000.0,59900.0,정보 없음,Zara
211,150721,(W) Zara x Barbie High Heel Leather Sandals Pink,정보 없음,129900.0,정보 없음,Zara
212,150720,(W) Zara x Barbie Quilted High Heel Mules Black,정보 없음,109900.0,정보 없음,Zara
213,109874,(W) Victoria Shoes Ballerina Flat Beige,정보 없음,86000.0,정보 없음,Victoria Shoes
214,109873,(W) Victoria Shoes Ballerina Flat Negro,정보 없음,86000.0,정보 없음,Victoria Shoes
215,109872,(W) Victoria Shoes Ballerina Flat Teja,정보 없음,86000.0,정보 없음,Victoria Shoes
216,109871,(W) Victoria Shoes Oda Mary Jane Marino,정보 없음,69000.0,정보 없음,Victoria Shoes
217,109870,(W) Victoria Shoes Oda Mary Jane Leopard,정보 없음,89000.0,정보 없음,Victoria Shoes
218,109869,(W) Victoria Shoes Oda Mary Jane Burdeo,정보 없음,79000.0,정보 없음,Victoria Shoes
219,109868,(W) Victoria Shoes Oda Mary Jane Gris,정보 없음,79000.0,정보 없음,Victoria Shoes
220,109867,(W) Victoria Shoes Oda Mary Jane Marino,정보 없음,79000.0,정보 없음,Victoria Shoes
221,109866,(W) Victoria Shoes Oda Mary Jane Negro,59000.0,79000.0,정보 없음,Victoria Shoes
222,109865,(W) Victoria Shoes Oda Mary Jane Whisky,정보 없음,79000.0,정보 없음,Victoria Shoes
223,109864,(W) Victoria Shoes Oda Mary Jane Mule Marino,정보 없음,69000.0,정보 없음,Victoria Shoes
224,109863,(W) Victoria Shoes Oda Mary Jane Gingham Check Negro,정보 없음,79000.0,정보 없음,Victoria Shoes
225,109862,(W) Victoria Shoes Gongfu Bailarina Lona Negro,정보 없음,69000.0,정보 없음,Victoria Shoes
226,109861,(W) Victoria Shoes Gongfu Bailarina Lona Crudo,정보 없음,69000.0,정보 없음,Victoria Shoes
227,109860,(W) Victoria Shoes Chico Sandalia Antelina Negro,정보 없음,86000.0,정보 없음,Victoria Shoes
228,110780,Oakley Factory Team x Brain Dead Suede Flesh Taupe,304000.0,218000.0,2023-03-21T00:00:00Z,Oakley
229,121770,Oakley Factory Team x Brain Dead Flesh Sandal Asphalt,298000.0,259000.0,2023-05-09T00:00:00Z,Oakley
230,134595,Oakley Factory Team x Brain Dead x Ssense Chop Saw Mule White,230000.0,정보 없음,정보 없음,Oakley
231,132274,Oakley Factory Team x Brain Dead Ostrich Chop Saw Mule Maroon Espresso,230000.0,160.0,2023-06-05T00:00:00Z,Oakley
232,118570,Oakley Factory Team x Brain Dead Chop Saw Black,227000.0,정보 없음,정보 없음,Oakley
233,110779,Oakley Factory Team x Brain Dead Jacquard Flesh Yellow Black,208000.0,218000.0,2023-03-21T00:00:00Z,Oakley
234,112978,Oakley Light Shield Triple Black,190000.0,정보 없음,정보 없음,Oakley
235,121616,Oakley Factory Team x Brain Dead Flesh Sandal Electric Blue Black,262000.0,259000.0,2023-05-09T00:00:00Z,Oakley
236,119537,Oakley Factory Team x Brain Dead Chop Saw Olive,330000.0,175.0,2023-04-19T00:00:00Z,Oakley
237,86046,Oakley Factory Team x Brain Dead Flesh Sandal Sand Blue,353000.0,165.0,2022-11-17T00:00:00Z,Oakley
238,86045,Oakley Factory Team x Brain Dead Flesh Milk Black,320000.0,155.0,2022-11-17T00:00:00Z,Oakley
239,128684,Oakley Factory Team x Brain Dead Ostrich Chop Saw Mule Black,200000.0,160.0,2023-06-05T00:00:00Z,Oakley
240,86044,Oakley Factory Team x Brain Dead Flesh Black Ostrich,394000.0,155.0,2022-11-17T00:00:00Z,Oakley
241,90995,Oakley Factory Team x Brain Dead Chop Saw Ivory Black,375000.0,175.0,2022-12-16T00:00:00Z,Oakley
242,86175,Oakley Factory Team x Brain Dead Flesh Sage Sand,295000.0,165.0,2022-11-17T00:00:00Z,Oakley
243,110424,Oakley Factory Team x Brain Dead Ostrich Flesh Ivory,379000.0,155.0,2023-03-22T00:00:00Z,Oakley
244,71647,Oakley Factory Team x Brain Dead Flesh Sand Blue,438000.0,155.0,2022-05-03T00:00:00Z,Oakley
245,125178,Oakley Factory Team x Brain Dead Flesh Sandal Sand Grape,280000.0,165.0,2023-05-09T00:00:00Z,Oakley
246,89999,Oakley Factory Team x Brain Dead Chop Saw Brown,300000.0,245.0,2022-12-14T00:00:00Z,Oakley
247,86351,Oakley Factory Team x Brain Dead Flesh Sandal Iron Brown Grey,300000.0,165.0,2022-11-17T00:00:00Z,Oakley
248,71648,Oakley Factory Team x Brain Dead Flesh Ice Sand,525000.0,165.0,2022-04-19T00:00:00Z,Oakley
249,71649,Oakley Factory Team x Brain Dead Flesh Lime Blue Brown,550000.0,165.0,2022-04-19T00:00:00Z,Oakley
250,149009,Oakley Factory Team x Brain Dead Paguro Slide Cold Brew,정보 없음,85.0,2023-07-11T00:00:00Z,Oakley
251,149008,Oakley Factory Team x Brain Dead Paguro Slide Hummus,정보 없음,85.0,2023-07-11T00:00:00Z,Oakley
252,149007,Oakley Factory Team x Brain Dead Paguro Slide Toadstool,정보 없음,85.0,2023-07-11T00:00:00Z,Oakley
253,103826,Crocs Echo Marbled Clog Bone Multi,113000.0,9000.0,정보 없음,Crocs
254,98602,Crocs Bayaband Clog White Navy,42000.0,64900.0,정보 없음,Crocs
255,137663,Crocs x Salehe Bembury Pollex Clog Horchata,125000.0,119000.0,2023-06-23T00:00:00Z,Crocs
256,84511,Crocs x Salehe Bembury Pollex Clog Sasquatch,168000.0,119000.0,2022-11-16T00:00:00Z,Crocs
257,121742,Crocs Classic Metallic Clog Silver,91000.0,64900.0,정보 없음,Crocs
258,62271,Crocs x 10 Corso Como Classic Clog Black,339000.0,89900.0,2022-05-20T00:00:00Z,Crocs
259,103764,Crocs Echo Clog Stucco,189000.0,70.0,정보 없음,Crocs
260,114028,Crocs Echo Clog Bone Black,74000.0,84900.0,정보 없음,Crocs
261,76953,Crocs x Staple Classic All Terrain Clog Black,179000.0,99000.0,2022-09-14T00:00:00Z,Crocs
262,147357,(W) Crocs x Barbie The Movie Classic Mega Crush Clog Electric Pink,207000.0,129000.0,2023-07-12T00:00:00Z,Crocs
263,104281,Crocs Echo Clog Black,65000.0,70.0,정보 없음,Crocs
264,98627,Crocs All Terrain Clog Black,47000.0,69900.0,정보 없음,Crocs
265,146667,Crocs x Kanghyuk Classic Clog White,126000.0,99900.0,2023-07-11T00:00:00Z,Crocs
266,36807,Crocs x Beams Classic All Terrain Mountain Parka Clog Grey,440000.0,8580.0,2021-06-18T00:00:00Z,Crocs
267,45941,Crocs x Salehe Bembury Pollex Clog Menemsha,500000.0,80.0,2021-12-15T00:00:06Z,Crocs
268,118610,Crocs x Winner All Terrain Clog Vanilla,103000.0,99900.0,2023-04-20T00:00:00Z,Crocs
269,58298,Crocs Classic Clog White,41000.0,59900.0,정보 없음,Crocs
270,82798,Crocs x Salehe Bembury Pollex Clog Kuwata,120000.0,119000.0,2022-11-01T00:00:00Z,Crocs
271,125449,Crocs Classic Crush Clog Black,80000.0,79900.0,정보 없음,Crocs
272,112160,Crocs Echo Clog Atmosphere,79000.0,84900.0,정보 없음,Crocs
273,68989,Crocs x Mastermind Classic Clog Black,131000.0,99900.0,2022-07-14T00:00:00Z,Crocs
274,98607,Crocs Bayaband Clog Black White,39000.0,64900.0,정보 없음,Crocs
275,118293,Crocs Classic Crush Clog Bone,78000.0,79900.0,정보 없음,Crocs
276,120565,Crocs Echo Marbled Clog Black Flame,118000.0,89900.0,정보 없음,Crocs
277,98604,Crocs All Terrain Clog White Multi,47000.0,69900.0,정보 없음,Crocs
278,119972,Crocs Classic Crush Boot Black,85000.0,85.0,정보 없음,Crocs
279,135975,Crocs All Terrain Atlas Stucco Black,110000.0,119000.0,2023-02-13T00:00:00Z,Crocs
280,118685,Crocs Classic Crush Clog White,69000.0,79900.0,정보 없음,Crocs
281,27578,Crocs x Anwar Carrots All Terrain Clog Orange,171000.0,89900.0,2020-09-22T00:00:00Z,Crocs
282,56898,Crocs x Staple Classic Clog Grey Red,80000.0,99000.0,2022-04-12T00:00:00Z,Crocs
283,112762,(W) Crocs Classic Platform Clog Black,65000.0,69900.0,정보 없음,Crocs
284,131479,Crocs Classic Rain Boots Black,76000.0,60.0,정보 없음,Crocs
285,70492,Crocs x Palace x Rapha EF Education First Crocs Multi,150000.0,68.0,2022-07-15T00:00:00Z,Crocs
286,111441,Crocs Echo Clog Pink Clay,92000.0,70.0,정보 없음,Crocs
287,40761,Crocs x Thisisneverthat Classic Clog Walnut,139000.0,79900.0,2021-09-03T00:00:00Z,Crocs
